,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
1,13.381349,12.269026,13.579650,12.667133,13.249584,12.980245,12.101529,13.579650,-5.690319,15.057771,12.662356,13.763408,-4.238717,14.864460,12.961327,13.861374,-3.464908,14.761420
2,13.202428,12.115926,13.366288,12.428908,13.030752,12.780105,11.954530,13.366288,-5.642331,14.778047,12.424395,13.561315,-4.543893,14.698235,12.769582,13.697108,-3.707013,14.624634
3,13.097317,11.977372,13.232067,12.341233,12.934370,12.663043,11.816979,13.232067,-5.687233,14.647156,12.336612,13.457410,-4.504482,14.578208,12.658311,13.599039,-3.780783,14.539768
4,12.971198,11.885116,13.115789,12.173862,12.788304,12.521705,11.733386,13.115789,-5.869985,14.498192,12.169598,13.329672,-4.925929,14.489747,12.517228,13.490021,-4.130689,14.462814
5,12.936130,11.839928,13.062431,12.170778,12.766963,12.497603,11.684894,13.062431,-5.718545,14.439968,12.166329,13.292519,-4.675131,14.418709,12.487485,13.448868,-3.990969,14.410250
6,12.840988,11.780293,12.990309,12.064035,12.672852,12.427805,11.631948,12.990309,-5.891568,14.348670,12.058435,13.210467,-4.996662,14.362498,12.377499,13.370689,-4.307725,14.363879
7,12.781125,11.737846,12.873024,12.151971,12.682215,12.492785,11.611508,12.873024,-6.423412,14.134541,12.148325,13.149368,-5.097128,14.150410,12.349079,13.274891,-4.714064,14.200702
8,12.785682,12.096838,13.009379,12.198297,12.718875,12.521732,11.957130,13.009379,-4.856487,14.061629,12.194354,13.177831,-4.539074,14.161307,12.353203,13.279942,-4.277213,14.206682
9,12.923142,12.182104,13.078743,12.496882,12.935294,12.716626,11.965644,13.078743,-4.404001,14.191843,12.492334,13.322885,-3.286091,14.153435,12.527608,13.375181,-3.353441,14.222755
10,13.035917,12.605205,13.231225,12.685851,13.080934,12.851418,12.305274,13.231225,-3.300655,14.157176,12.680613,13.431216,-2.675609,14.181819,12.667327,13.457162,-2.815456,14.246997
11,13.141970,12.813468,13.313628,12.832498,13.190931,12.980954,12.439118,13.313628,-2.994417,14.188138,12.827208,13.509188,-2.335173,14.191168,12.807139,13.524634,-2.456782,14.242130
12,13.244462,12.997779,13.388949,12.938508,13.265973,13.088423,12.630142,13.388949,-2.648323,14.147756,12.931991,13.558207,-2.185566,14.184423,12.950838,13.580031,-2.195955,14.209224
13,13.432063,13.267794,13.492512,13.276825,13.487379,13.338815,12.897931,13.492512,-2.064988,14.087094,13.270391,13.677244,-1.413008,14.084098,13.218116,13.676575,-1.592234,14.135034
14,13.566978,13.515973,13.595630,13.491481,13.637847,13.510183,13.134881,13.595630,-1.554999,14.056379,13.482867,13.773454,-0.980715,14.064042,13.399567,13.758305,-1.210718,14.117043
15,13.612214,13.675771,13.673044,13.518141,13.674932,13.549975,13.258738,13.673044,-1.278632,14.087351,13.510824,13.818526,-0.949629,14.126228,13.443963,13.804501,-1.112692,14.165039
16,13.546784,13.663462,13.696682,13.352252,13.585945,13.454919,13.233517,13.696682,-1.386337,14.159847,13.346024,13.795876,-1.346492,14.245729,13.330227,13.794278,-1.388988,14.258328
17,13.480780,13.516023,13.671241,13.249298,13.524196,13.372490,13.087796,13.671241,-1.752491,14.254687,13.243272,13.770004,-1.582142,14.296737,13.227786,13.769916,-1.628392,14.312046
18,13.287259,12.790060,13.447842,12.852211,13.252134,13.122370,12.505144,13.447842,-3.540278,14.390541,12.847238,13.606419,-2.851080,14.365599,12.969925,13.649926,-2.553724,14.329927
19,13.164242,12.588411,13.391123,12.667528,13.125382,12.986507,12.405481,13.391123,-3.482005,14.376765,12.662395,13.530495,-3.066764,14.398596,12.796287,13.584761,-2.785465,14.373235
20,13.060381,12.458772,13.306805,12.485342,12.984884,12.839070,12.289426,13.306805,-3.881709,14.324185,12.480498,13.426222,-3.608317,14.371946,12.671114,13.505257,-3.182589,14.339400
21,12.942506,11.906971,13.082358,12.288280,12.834011,12.671209,11.746127,13.082358,-5.353585,14.418590,12.283740,13.315498,-4.133720,14.347257,12.524792,13.419895,-3.586212,14.314997
